quote_text,author,date_added,image_url
Say no to a hundred good things. That's the only way the great thing gets your whole attention.,The Wiser One,2024-02-17T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"You don't find focus. You make it, by throwing out everything that isn't the one thing.",The Wiser One,2024-01-20T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Every yes is a promise to defend something for years. Most of them aren't worth the argument.,The Wiser One,2024-01-30T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"Focus costs you things you like. If it doesn't hurt a bit, you haven't focused.",The Wiser One,2024-01-16T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Every feature we took out made it better. That should tell you something.,The Wiser One,2024-04-12T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
The best thing on your list gets ruined by the third best thing on your list.,The Wiser One,2024-02-29T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"You cut far more than you keep. That isn't restraint, that's the work.",The Wiser One,2025-06-14T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"Half the things we were proudest of never left the building. That isn't waste, that's taste.",The Wiser One,2026-02-26T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
You'll know your standards are real the first time you throw out something good.,The Wiser One,2026-05-14T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
The stuff you don't ship is doing work too. It's keeping the rest of it clean.,The Wiser One,2024-08-20T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Killing good work feels like losing. It's the only way anything great gets out the door.,The Wiser One,2025-10-06T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"If nobody's upset about what you cut, you didn't cut enough.",The Wiser One,2026-04-30T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
The argument you keep avoiding is the thing you should have killed months ago.,The Wiser One,2025-05-18T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Taste is knowing which good idea to throw away.,The Wiser One,2025-11-24T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
You don't get to great by adding. You get there by having the nerve to take things out.,The Wiser One,2026-07-25T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
The easiest trap is keeping something alive just because you've spent six months on it.,The Wiser One,2025-10-31T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
The hardest thing to cut is the part you thought of.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
You'll miss it for about a week. Then you'll wonder why it took you so long.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Some things work fine and still have to go. That's the part almost nobody can do.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Everything you cut is time the rest of it gets.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
A long list is what you make instead of a decision.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
What you've already spent isn't a reason. It's just why it hurts.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Half of what you're doing is there because nobody ever stopped it.,The Wiser One,2026-08-23T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Complicated is what you ship when you run out of time to think.,The Wiser One,2024-10-04T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Anybody can make it complicated. That's the default. Getting it simple is the work.,The Wiser One,2025-02-17T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
People confuse simple with easy. Simple is what's left after the hard part is done.,The Wiser One,2026-07-17T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
"If it's still complicated, you didn't finish. You stopped.",The Wiser One,2025-11-08T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Most people can't make things simple because they can't stand being wrong that many times.,The Wiser One,2025-11-01T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Complexity is a great place to hide. It lets people pretend they know what they're doing when they're actually just lost.,The Wiser One,2024-03-17T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
Getting it simple takes longer and looks like less. That's why hardly anyone does it.,The Wiser One,2024-02-21T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
You have to understand the whole thing before you can cut it down. Most people quit at good enough.,The Wiser One,2025-08-22T06:06:06Z,https://cloudcdn.pro/stocks/images/vitalis-hirschmann-4ErRQkRiOv4.webp
